AcademicYearKey,AcademicYearSort,YearBreakdown,GeographyKey,SchoolTypeKey,EducationPhase,NumSchools,Enrolments,SessionsPossible,OverallAbsenceSessions,AuthorisedAbsenceSessions,UnauthorisedAbsenceSessions,OverallAbsenceRateSource,AuthorisedAbsenceRateSource,UnauthorisedAbsenceRateSource,AttendanceRateSource,PersistentAbsentees,PersistentAbsenceRateSource,SevereAbsentees,SevereAbsenceRateSource,IllnessAbsenceRateSource,AppointmentsAbsenceRateSource,UnauthorisedHolidayAbsenceRateSource
2008/09,2008,Five half terms,LA|E06000054,State-funded primary,State-funded primary,202,30490,8682652,414996,378547,36449,0.047796000000000005,0.0435981,0.0041979,0.952204,3518,0.11538209999999999,102,0.0033454,0.0295018158,0.0024873736699999997,0.00083833833
2008/09,2008,Five half terms,LA|E06000054,State-funded secondary,State-funded secondary,29,26088,7530111,541384,449982,91402,0.0718959,0.0597577,0.012138199999999998,0.9281041,5570,0.21350809999999998,338,0.0129561,0.04019980582,0.00453193851,0.00100450046
2008/09,2008,Five half terms,LA|E06000012,State-funded primary,State-funded primary,50,10850,3170592,146841,133771,13070,0.0463134,0.042191200000000005,0.0041223,0.9536866,1249,0.11511520000000001,39,0.0035945,0.02927150513,0.00264493192,0.0008708152900000001
2008/09,2008,Five half terms,LA|E10000023,State-funded secondary,State-funded secondary,47,35128,10475619,700531,612264,88267,0.0668725,0.0584466,0.0084259,0.9331275,7010,0.1995559,324,0.0092234,0.03809340527,0.00412309764,0.0007726512400000001
2008/09,2008,Five half terms,LA|E10000007,Special,Special,10,559,160204,16025,13978,2047,0.1000287,0.0872513,0.012777499999999999,0.8999713,176,0.3148479,15,0.0268336,0.04703378193,0.011647649250000001,6.242041e-05
2008/09,2008,Five half terms,LA|E06000015,State-funded primary,State-funded primary,76,17517,5062159,277874,233098,44776,0.054892399999999994,0.0460472,0.0088452,0.9451076,2867,0.1636696,89,0.0050808,0.03102767021,0.00266309296,0.00092885269
2008/09,2008,Five half terms,LA|E10000018,State-funded primary,State-funded primary,225,41307,12603551,584726,543804,40922,0.0463938,0.043146899999999995,0.0032468999999999996,0.9536062,4480,0.1084562,139,0.0033650000000000004,0.0286596214,0.0022856256899999997,0.00052501077
2008/09,2008,Five half terms,LA|E10000018,State-funded secondary,State-funded secondary,54,38665,11883475,831909,674620,157289,0.0700055,0.0567696,0.0132359,0.9299945000000001,8028,0.2076296,442,0.0114315,0.03916909826,0.0043462876,0.00076206665
2008/09,2008,Five half terms,LA|E06000017,Total,Total,21,4661,1364779,75306,69515,5791,0.055178200000000004,0.050934999999999994,0.0042432,0.9448218,641,0.13752409999999998,18,0.0038618000000000003,0.03173480835,0.00369583647,0.00024765914
2008/09,2008,Five half terms,LA|E10000021,Special,Special,12,956,277590,28258,21838,6420,0.1017976,0.07867,0.023127599999999998,0.8982024,321,0.3357741,30,0.0313808,0.03862170827,0.00799020138,0.0005619799000000001
